label,uri,page_id,node_id,resource_pk,resource_id,preferred_canonical_for_page,gbif_id,gbif_rel_method,gbif_uri,gbif_can_name,gbif_vern_name
Arcoida,http://eol.org/pages/2216,2216,,,,,9574493.0,EOL-OC-label-GBIF-search-w-alts,https://www.gbif.org/species/9574493,Arcida,
Arcidae,http://eol.org/pages/2217,2217,,,,,3483.0,EOL-OC-label-GBIF-exact-search,https://www.gbif.org/species/3483,Arcidae,ark shells
Mytiloida,http://eol.org/pages/2234,2234,,,,,3247005.0,EOL-OC-label-GBIF-exact-search,https://www.gbif.org/species/3247005,Mytiloida,
Mytilidae,http://eol.org/pages/2235,2235,,,,,3476.0,EOL-OC-label-GBIF-exact-search,https://www.gbif.org/species/3476,Mytilidae,mussel
Ostreoida,http://eol.org/pages/2244,2244,,,,,9485611.0,EOL-OC-label-GBIF-search-w-alts,https://www.gbif.org/species/9485611,Ostreida,oyster
Ostreidae,http://eol.org/pages/2248,2248,,,,,6871.0,EOL-OC-label-GBIF-exact-search,https://www.gbif.org/species/6871,Ostreidae,oyster
Spondylidae,http://eol.org/pages/2252,2252,,,,,6868.0,EOL-OC-label-GBIF-exact-search,https://www.gbif.org/species/6868,Spondylidae,thorny oysters
Unionoida,http://eol.org/pages/2272,2272,,,,,9301143.0,EOL-OC-label-GBIF-search-w-alts,https://www.gbif.org/species/9301143,Unionida,
Unionidae,http://eol.org/pages/2274,2274,62064887.0,Unionidae,767.0,Unionidae,,,,,
Unionidae,http://eol.org/pages/2274,2274,62456180.0,3461,767.0,Unionidae,3461.0,EOL-GBIF-names,https://www.gbif.org/species/3461,Unionidae,freshwater mussel
Veneroida,http://eol.org/pages/2275,2275,,,,,9310756.0,EOL-OC-label-GBIF-search-w-alts,https://www.gbif.org/species/9310756,Venerida,
Cardiidae,http://eol.org/pages/2278,2278,,,,,6858.0,EOL-OC-label-GBIF-exact-search,https://www.gbif.org/species/6858,Cardiidae,cockle
Lucinidae,http://eol.org/pages/2293,2293,,,,,3455.0,EOL-OC-label-GBIF-exact-search,https://www.gbif.org/species/3455,Lucinidae,hatchet shells
Mesodesmatidae,http://eol.org/pages/2295,2295,,,,,3453.0,EOL-OC-label-GBIF-exact-search,https://www.gbif.org/species/3453,Mesodesmatidae,
Gastropoda,http://eol.org/pages/2366,2366,62038085.0,225,767.0,Gastropoda,225.0,EOL-GBIF-names,https://www.gbif.org/species/225,Gastropoda,Slugs
Gastropoda,http://eol.org/pages/2366,2366,61363152.0,Gastropoda,767.0,Gastropoda,,,,,
Patellidae,http://eol.org/pages/2385,2385,62279966.0,2862,767.0,Patellidae,2862.0,EOL-GBIF-names,https://www.gbif.org/species/2862,Patellidae,limpets
Patellidae,http://eol.org/pages/2385,2385,62066704.0,Patellidae,767.0,Patellidae,,,,,
Neogastropoda,http://eol.org/pages/2447,2447,62038837.0,Neogastropoda,767.0,Neogastropoda,,,,,
Neogastropoda,http://eol.org/pages/2447,2447,64616066.0,982,767.0,Neogastropoda,982.0,EOL-GBIF-names,https://www.gbif.org/species/982,Neogastropoda,neogastropods: whelks & cone shells
Buccinidae,http://eol.org/pages/2448,2448,62397389.0,Babyloniidae,767.0,Babyloniidae,,,,,
Buccinidae,http://eol.org/pages/2448,2448,62397390.0,3243262,767.0,Babyloniidae,3243262.0,EOL-GBIF-names,https://www.gbif.org/species/3243262,Babyloniidae,
Muricidae,http://eol.org/pages/2461,2461,62073980.0,Muricidae,767.0,Muricidae,,,,,
Muricidae,http://eol.org/pages/2461,2461,62074869.0,2304120,767.0,Muricidae,2304120.0,EOL-GBIF-names,https://www.gbif.org/species/2304120,Muricidae,murex snail
Cerithiidae (Fleming 1822),http://eol.org/pages/2487,2487,,,,,6760.0,EOL-OC-label-GBIF-exact-search,https://www.gbif.org/species/6760,Cerithiidae,cerith snail
